PRICE;CONSTRUCTED_AREA;ROOM_NUMBER;BATH_NUMBER;HAS_TERRACE;HAS_LIFT;HAS_AIR_CONDITIONING;HAS_PARKING_SPACE;HAS_BOX_ROOM;HAS_SWIMMING_POOL;HAS_DOOR_MAN;HAS_GARDEN;IS_DUPLEX;TOP_FLOOR;CONSTRUCTION_YEAR;CAD_CONSTRUCTION_YEAR;CAD_MAX_BUILDING_FLOOR;CADASTRAL_QUALITY;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_CASTELLANA
1131000.0;1.4999999999999998;1.3333333333333333;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.8463222416812609;0.8005115089514065;0.19230769230769232;0.4444444444444444;0.047116846480105;0.11624096491503015
985000.0;1.1451612903225805;0.6666666666666667;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.15384615384615385;0.3333333333333333;0.042780645930983484;0.11526327559928022
960000.0;1.0403225806451613;0.6666666666666667;0.6666666666666666;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.2692307692307693;0.3333333333333333;0.05854573336835067;0.13175599775347865
806000.0;0.8951612903225806;0.3333333333333333;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8200525394045534;0.6470588235294112;0.23076923076923078;0.5555555555555556;0.077228357080883;0.12451682656316032
499000.0;0.8548387096774194;0.6666666666666667;0.3333333333333333;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.19230769230769232;0.3333333333333333;0.03565439451216818;0.09285348355479554
536000.0;0.6451612903225806;0.3333333333333333;0.6666666666666666;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8594570928196147;0.8772378516624038;0.23076923076923078;0.3333333333333333;0.055595491843999874;0.13036909920599357
943000.0;1.314516129032258;0.6666666666666667;0.6666666666666666;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.23076923076923078;0.4444444444444444;0.03691827018850177;0.10367168939898404
830000.0;1.443548387096774;0.6666666666666667;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.23076923076923078;0.4444444444444444;0.033711361081234605;0.10665768728960556
618000.0;0.9758064516129031;1.3333333333333333;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.23076923076923078;0.4444444444444444;0.040282982971214326;0.0981372954970108
507000.0;1.1048387096774193;0.6666666666666667;0.6666666666666666;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.8537653239929947;0.843989769820972;0.2692307692307693;0.3333333333333333;0.04682201220520883;0.12048036075871299
508000.0;0.6209677419354839;0.6666666666666667;0.6666666666666666;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8309982486865148;0.710997442455243;0.19230769230769232;0.3333333333333333;0.04474822329202393;0.11746197583089216
700000.0;0.6370967741935484;0.6666666666666667;0.6666666666666666;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8507005253940455;0.8260869565217392;0.3076923076923077;0.4444444444444444;0.07082506124421159;0.14394758308369818
682000.0;1.1209677419354838;1.3333333333333333;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.2692307692307693;0.6666666666666666;0.04795678723993977;0.10330007285133201
771000.0;1.3548387096774193;0.3333333333333333;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8200525394045534;0.6470588235294112;0.23076923076923078;0.1111111111111111;0.042465131559523014;0.11214721373335859
649000.0;1.6048387096774193;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.839754816112084;0.7621483375959075;0.34615384615384615;0.4444444444444444;0.06456571372120995;0.13665556783101848
760000.0;1.2338709677419353;0.6666666666666667;0.6666666666666666;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.8353765323992994;0.7365728900255748;0.2692307692307693;0.3333333333333333;0.07800713373962655;0.14444192081551419
949000.0;1.129032258064516;0.6666666666666667;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.8743432574430823;0.9641943734015346;0.2692307692307693;0.3333333333333333;0.045464104414683036;0.11138241901995476
694000.0;0.717741935483871;0.3333333333333333;0.3333333333333333;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8669001751313484;0.9207161125319692;0.2692307692307693;0.2222222222222222;0.035067209854999636;0.10348802624270417
471000.0;0.8306451612903226;0.6666666666666667;0.6666666666666666;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8550788091068301;0.8516624040920711;0.23076923076923078;0.5555555555555556;0.094689375300876;0.14272686230476872
979000.0;1.1774193548387095;0.6666666666666667;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8288091068301225;0.6982097186700766;0.23076923076923078;0.2222222222222222;0.04665969031576112;0.11982439995500395
